12:224.985;224.987;324.987;424.993;324.987;424.991;524.992;424.992;424.989;324.993;624.993;524.991;424.991;524.993;424.992;324.988;224.991;424.994;424.995;524.992;
13:124.729;224.774;624.619;424.623;224.736;424.694;524.664;324.815;524.733;424.741;224.871;324.77;224.885;224.913;324.889;424.864;324.886;224.879;424.864;224.905;
14:322.321;122.15;120.519;219.924;320.868;220.724;320.528;220.698;220.988;221.435;112.393;213.415;312.124;311.766;223.147;413.022;311.505;211.281;312.423;310.791;
15:124.648;324.72;324.602;224.747;324.737;424.655;324.644;424.596;524.705;424.528;524.536;424.73;424.626;624.708;324.667;324.519;424.569;624.559;524.563;524.514;
16:115.481;314.941;411.423;315.852;216.609;315.61;217.188;216.221;414.729;316.058;518.154;417.79;217.865;218.067;418.437;218.556;318.418;119.413;418.475;414.854;
17:108.633;210.816;210.824;310.241;210.867;211.866;313.888;210.568;411.974;212.643;211.563;224.698;324.65;324.732;324.4;524.653;422.003;324.723;324.748;424.272;
18:424.833;424.819;524.838;324.821;524.862;324.846;224.787;624.85;324.849;424.885;324.857;324.83;324.888;424.876;324.894;324.928;324.933;224.931;424.939;324.929;
19:109.224;309.117;310.001;310.589;409.425;308.625;311.16;311.867;412.886;412.64;512.411;413.158;510.34;614.391;314.47;514.029;614.014;414.691;515.064;415.08;
20:308.63;124.989;324.943;524.941;424.943;324.941;324.946;424.942;424.896;424.942;324.92;424.924;424.924;324.937;424.919;524.916;424.919;424.942;424.924;424.928;
21:119.259;316.152;219.959;416.053;315.462;314.089;414.447;511.037;313.661;219.573;313.236;318.281;316.022;317.367;218.012;415.399;316.749;318.2;515.506;319.316;
22:223.029;124.433;224.91;423.462;324.913;324.892;324.947;224.945;524.935;320.064;324.941;424.944;324.94;224.94;224.945;408.523;324.937;323.127;224.947;224.952;
23:24.9947;24.9989;124.996;124.997;24.9977;124.998;124.995;24.9993;124.999;105.694;206.929;208.506;107.419;209.192;209.797;124.998;124.999;310.135;210.264;219.622;
24:116.147;124.724;316.683;224.457;424.364;317.361;314.886;217.49;417.267;324.517;224.652;224.81;224.617;224.675;224.805;324.583;324.533;424.282;224.644;224.739;
25:109.627;224.853;324.864;522.691;424.819;223.252;424.872;424.41;424.86;224.872;424.146;424.891;424.139;324.505;324.876;324.897;324.902;224.924;324.913;424.201;
26:218.959;118.894;216.179;413.782;218.698;218.767;218.905;217.849;220.763;121.525;321.181;218.141;319.996;318.311;320.48;317.163;418.08;219.795;319.193;224.628;
27:123.236;324.697;224.698;324.679;524.718;324.695;224.745;224.728;524.712;324.735;208.8;324.724;424.69;224.789;124.724;207.603;224.687;224.766;324.736;224.792;
28:123.696;122.591;206.71;110.486;122.639;222.362;522.298;621.6;421.92;521.985;521.351;621.347;522.036;322.076;422.594;721.786;420.483;322.858;421.582;421.335;
29:224.318;324.788;224.807;124.801;216.794;324.817;224.49;124.543;224.473;524.564;324.52;313.906;424.584;324.539;424.119;224.599;424.631;424.627;324.621;324.562;
30:224.543;324.87;324.809;424.777;424.535;424.63;224.617;424.8;324.596;324.868;524.845;424.881;424.874;424.563;424.7;324.75;324.598;424.814;324.907;424.906;
31:424.952;224.997;324.979;224.998;324.997;424.998;324.998;324.998;424.939;224.998;224.948;224.998;324.998;424.998;224.998;324.998;424.971;324.998;324.975;424.999;
32:102.473;423.835;424.315;324.067;523.93;424.139;623.779;524.262;523.897;424.309;624.123;424.423;524.471;524.053;524.079;523.997;723.879;424.425;524.472;624.341;
33:124.978;224.945;224.941;324.918;624.932;324.94;424.954;424.94;424.932;324.933;424.957;424.947;624.941;624.959;524.951;624.945;524.955;524.956;624.955;624.959;
34:107.212;224.663;324.695;322.773;324.744;324.73;424.731;324.752;316.784;524.701;424.778;524.658;524.882;524.9;524.904;524.894;624.917;624.885;624.918;624.919;
35:124.983;124.941;108.697;124.989;124.975;124.953;224.927;324.846;124.987;124.994;324.834;324.787;224.876;324.907;424.908;324.833;324.823;324.825;324.817;224.832;
36:124.983;124.984;424.98;324.906;224.983;324.978;224.977;324.886;424.75;424.764;624.761;524.773;524.788;624.699;624.72;524.676;724.71;524.734;624.785;524.705;
37:120.198;220.737;209.273;318.574;307.873;309.502;322.114;318.627;320.907;321.322;317.042;222.216;209.914;221.667;211.536;422.715;314.315;222.952;422.079;422.578;
38:124.946;224.99;424.985;224.991;424.989;624.991;224.99;324.992;309.778;319.185;324.993;224.993;224.994;322.02;624.996;524.996;324.995;324.267;424.789;423.806;
39:215.177;216.679;214.317;215.287;214.677;118.031;217.667;217.053;211.825;318.195;310.165;220.78;216.762;120.052;215.778;216.4;219;219.572;220.164;121.009;
40:124.47;324.732;324.574;524.744;424.734;524.738;524.76;624.793;524.756;624.779;624.774;524.822;524.814;824.785;524.797;424.825;524.822;624.851;524.841;624.812;
41:224.659;215.032;413.672;313.51;217.616;413.78;514.061;414.692;414.589;613.064;414.996;512.872;414.396;414.286;414.998;416.254;614.938;416.859;515.323;516.352;
42:416.838;317.754;317.184;218.058;218.803;417.723;418.236;318.209;318.642;220.26;319.445;418.725;318.285;319.853;519.085;320.944;418.189;318.914;418.283;414.655;
43:218.541;324.618;424.77;424.702;407.796;524.787;424.754;424.838;424.76;424.862;424.852;524.857;524.79;324.878;524.881;524.811;624.766;424.833;424.85;324.849;
