29:318.566;324.287;422.553;324.435;424.428;522.615;424.397;324.306;424.247;424.107;423.821;324.317;324.171;424.177;324.295;724.253;418.257;324.102;724.017;418.531;
30:223.77;523.755;523.467;522.599;423.057;523.141;422.878;323.31;423.199;423.4;523.305;522.968;523.545;623.082;723.185;623.022;623.296;622.864;622.879;623.505;
31:519.352;317.961;419.594;418.357;517.254;519.186;320.75;421.038;620.825;620.617;421.062;621.008;520.223;619.952;620.697;420.951;520.897;421.665;519.755;420.251;
32:321.225;121.812;221.915;122.383;122.357;121.442;122.49;121.792;123.042;122.155;122.596;122.744;222.154;122.831;123.256;23.165;122.43;122.811;122.343;123.046;
33:724.674;924.742;924.694;824.757;924.816;1024.76;924.738;924.835;924.836;924.816;824.892;824.872;824.883;924.885;824.932;824.933;824.895;824.866;824.929;924.895;
34:519.377;521.307;620.221;618.789;517.578;619.448;720.854;417.56;720.239;619.038;418.107;620.798;520.61;517.775;520.465;520.768;820.364;819.329;719.252;315.923;
35:124.537;124.682;224.83;424.698;424.65;524.527;524.425;724.289;724.419;724.32;724.27;624.641;624.645;524.56;624.306;624.244;824.125;724.083;624.607;724.225;
36:312.358;213.852;311.765;313.102;214.899;412.92;113.851;512.582;412.915;411.173;413.098;313.205;312.458;314.174;514.129;513.745;414.238;413.018;513.884;510.943;
37:324.461;724.454;624.419;624.492;524.246;524.263;524.151;624.321;624.322;624.323;524.26;824.464;824.438;724.315;624.431;824.431;724.425;624.231;624.275;824.333;
38:324.899;524.882;624.883;524.898;824.892;724.894;524.891;724.876;724.884;424.938;824.899;624.919;924.906;624.933;524.931;824.903;824.912;624.911;824.909;824.902;
39:118.708;117.753;119.428;219.03;319.53;218.601;208.539;118.591;213.205;118.892;117.708;120.013;118.578;117.257;119.548;212.76;217.59;317.812;317.42;118.841;
40:218.277;218.433;218.925;217.625;218.7;219.163;217.65;219.3;318.304;219.029;318.453;318.466;218.526;219.596;218.827;219.277;219.241;318.99;218.723;219.721;
41:209.984;408.932;308.943;308.05;410.662;409.558;208.649;308;309.866;310.501;408.854;306.88;309.892;511.542;310.411;409.278;311.213;510.818;212.001;409.008;
42:322.95;423.114;622.847;523.109;623.556;823.478;723.511;723.616;723.732;623.81;521.422;521.985;623.668;622.229;523.585;823.594;423.498;721.605;623.203;522.646;
43:523.289;622.949;422.72;422.684;522.334;522.115;521.881;522.787;621.69;523.22;522.966;521.34;622.442;422.975;321.658;423.099;622.602;521.812;422.895;323.179;
44:115.795;116.196;216.67;214.909;116.545;117.29;115.016;214.953;118.588;216.089;118.936;116.268;118.424;214.275;119.056;118.838;119.168;115.963;115.523;115.197;
45:221.339;221.882;321.545;221.684;321.627;421.95;321.134;221.541;321.64;321.306;321.568;420.953;321.671;321.429;421.434;321.426;321.459;321.857;221.406;221.953;
46:215.565;215.374;214.884;115.27;214.442;214.628;214.255;313.751;213.619;314.159;115.638;313.589;215.001;215.548;214.542;214.465;214.889;314.41;115.749;414.688;
47:217.283;218.976;119.396;218.055;217.777;220.226;120.618;119.456;121.215;118.341;118.897;121.07;120.691;119.683;218.554;118.59;221.333;120.975;221.532;220.538;
48:222.616;322.386;222.621;322.623;418.962;322.617;322.942;318.557;422.338;421.609;423.188;323.058;323.102;423.122;422.686;323.223;323.272;323.551;322.854;322.674;
49:209.067;310.402;311.297;409.275;208.914;310.351;211.804;209.763;310.118;210.454;309.668;211.22;310.512;309.479;310.894;411.709;311.782;211.173;311.958;311.833;
50:724.891;824.88;924.892;1018.13;824.907;924.907;1023.96;824.92;924.916;924.924;924.922;924.915;924.916;824.928;924.925;824.925;924.926;824.938;824.947;824.958;
51:422.724;423.164;522.844;523.209;523.75;522.784;622.717;523.988;423.309;722.967;522.253;522.503;522.212;723.741;522.267;622.867;723.011;722.331;523.377;321.822;
52:224.989;224.994;324.933;224.969;424.955;224.986;324.972;324.969;324.978;324.948;224.973;524.902;424.929;224.985;324.962;424.962;324.946;324.956;224.96;324.953;
53:223.652;323.402;223.814;223.854;223.824;223.751;223.816;124.165;323.85;224.157;224.041;223.928;323.842;223.712;224.375;324.196;223.929;224.27;424.213;424.14;
54:124.583;324.674;324.743;324.686;324.726;324.667;424.759;324.775;424.745;424.708;324.76;324.722;724.705;424.701;524.691;624.71;524.632;424.702;424.679;524.674;
55:422.184;723.966;624.212;723.579;623.673;623.609;624.28;824.273;724.157;824.002;724.384;524.374;524.291;623.179;723.421;722.184;723.2;723.352;623.384;722.841;
56:424.95;724.944;824.939;824.938;724.936;924.941;724.95;924.943;724.945;824.938;724.942;624.943;624.956;824.956;724.961;724.961;824.954;724.957;824.958;724.964;
